id	longitude	latitude
1000001	5.197910	46.201140
1000002	5.227670	46.218420
1000004	5.244470	46.188360
1000005	5.199420	46.200935
1000006	5.237580	46.207540
1000007	5.248910	46.201050
1000008	5.240703	46.199416
1000009	5.229350	46.195660
1000010	5.243506	46.198518
1090001	4.774550	46.096360
1100001	5.662820	46.284040
1100002	5.644404	46.250298
1100003	5.641340	46.249660
1100004	5.659682	46.272036
1100006	5.647710	46.262090
1110001	5.598700	45.978230
1120002	5.074047	45.847151
1120004	5.058720	45.852510
1120005	5.047780	45.846810
1120006	5.040930	45.846410
1120007	5.070622	45.844422
1130001	5.603520	46.157850
1130002	5.691495	46.166972
1140001	4.817630	46.177670
1150001	5.345530	45.901800
1150002	5.277800	45.838830
1160001	5.337410	46.053350
1160002	5.332866	46.051709
1160003	5.375340	46.072090
1170001	6.081495	46.293007
1170002	6.053190	46.322425
1170003	6.075340	46.337550
1170005	6.058000	46.335220
1190001	4.973046	46.440888
1200001	5.822920	46.105590
1200003	5.811800	46.123580
1210001	6.118170	46.253030
1210002	6.117554	46.252168
1210003	6.092661	46.243700
1220001	6.132180	46.349940
1230002	5.432185	45.942296
1230003	5.395320	45.922270
1240001	5.203688	46.071940
1250001	5.324430	46.213390
1250002	5.327540	46.175270
1250004	5.288800	46.134080
1270002	5.345530	46.383250
1290001	4.892540	46.247320
1300001	5.688710	45.757230
1300002	5.683340	45.755720
1300003	5.689460	45.778000
1310001	5.112113	46.250825
1320001	5.168712	45.991346
1320002	5.176720	45.997800
1330001	4.898640	45.998680
1330002	5.035247	46.006686
1340001	5.122780	46.332080
1340002	5.137480	46.322890
1340003	5.126150	46.346270
1340004	5.162010	46.283380
1350001	5.784680	45.847750
1350003	5.747400	45.857180
1360002	5.119580	45.848890
1370001	5.279570	46.262480
1390001	4.957940	45.927200
1390002	4.965090	45.936290
1390004	4.929480	45.896810
1390006	4.929480	45.896810
1400001	4.961140	46.119060
1400003	4.948632	46.116349
1400005	4.960360	46.117650
1430001	5.499560	46.123700
1430003	5.494629	46.120300
1430004	5.537710	46.128170
1440001	5.228564	46.238985
1440002	5.262880	46.235860
1440003	5.213400	46.216670
1460001	5.577290	46.172250
1460002	5.526070	46.186650
1460003	5.571290	46.165860
1470001	5.460830	45.795100
1470002	5.454140	45.787760
1480001	4.756940	45.984030
1500001	5.353450	45.969520
1500003	5.309250	45.975920
1500004	5.332850	45.957000
1500006	5.309250	45.975920
1500007	5.337470	45.972680
1510001	5.696774	45.872461
1510002	5.654280	45.847550
1540001	4.993630	46.197730
1540002	4.989910	46.219790
1570001	4.884930	46.329040
1590001	5.657520	46.320310
1590002	5.671773	46.324882
1600001	4.971830	45.828340
1600002	4.790627	45.934724
1600003	4.818722	45.903910
1630001	6.024910	46.242110
1630002	6.026640	46.253450
1630003	6.029500	46.263260
1630004	5.928918	46.183224
1640001	5.389570	46.034970
1700003	4.912410	45.871470
1700004	4.998950	45.826500
1710001	5.992775	46.227323
1750001	4.880540	46.299320
1800001	5.190521	45.901185
1800002	5.199800	45.820870
1800003	5.194840	45.909510
1960001	5.213790	46.181590
1960004	5.211570	46.190890
1980001	5.212982	45.779021
2000001	3.647221	49.564116
2000002	3.616242	49.548289
2000003	3.608205	49.570053
2000005	3.645530	49.568890
2000007	3.621480	49.569590
2000008	3.649175	49.586585
2000009	3.644630	49.582010
2100001	3.252557	49.858409
2100006	3.299660	49.834100
2100008	3.279160	49.843890
2100009	3.323300	49.842771
2100011	3.272240	49.847661
2100012	3.291210	49.864830
2100013	3.262959	49.853664
2100017	3.307050	49.832900
2100018	3.283870	49.842260
2100019	3.301170	49.847850
2110001	3.461120	49.983990
2110002	3.461030	49.986020
2110003	3.454310	49.981230
2120002	3.629523	49.900876
2120003	3.628990	49.903160
2120004	3.638410	49.902490
2130001	3.510560	49.200920
2130004	3.508700	49.203750
2130005	3.370460	49.077710
2140002	3.909630	49.835350
2140003	3.907100	49.833540
2140004	3.905423	49.842559
2170001	3.780671	50.013264
2190003	3.926520	49.448720
2190004	3.967050	49.434880
2190005	3.892350	49.446580
2200001	3.314900	49.369940
2200002	3.340740	49.371020
2200005	3.329140	49.368080
2200006	3.301783	49.381354
2200007	3.333310	49.386390
2200008	3.304500	49.364360
2200010	3.329850	49.370460
2200011	3.308220	49.381270
2210001	3.363020	49.200380
2220001	3.528550	49.340960
2230001	3.404147	49.964756
2240001	3.466960	49.800950
2250001	3.773370	49.742840
2250002	3.770030	49.739930
2260001	3.918220	49.973470
2280001	3.855823	49.530565
2290001	3.113913	49.400232
2300001	3.259500	49.642870
2300002	3.233690	49.591390
2300006	3.215750	49.626450
2300007	3.149220	49.518830
2310001	3.280150	48.976460
2310002	3.514290	49.195910
2320001	3.450632	49.499335
2320002	3.440472	49.505969
2340001	4.022070	49.689230
2360001	4.128210	49.708730
2370002	3.515017	49.406216
2380001	3.335600	49.488580
2390002	3.494120	49.837220
2400001	3.387490	49.040430
2400004	3.390259	49.037137
2400005	3.391400	49.035200
2400007	3.393820	49.047670
2400008	3.395180	49.043180
